Male,Female,Under 18 years,18 years and over,62 years and over,White,Black or African American,Asian,Hispanic or Latino (of any race)
2359355.0,2516895.0,1096376.0,3779874.0,989899.0,3320247.0,1299048.0,66270.0,208626.0
384915.0,352153.0,184394.0,552674.0,107739.0,476015.0,24205.0,45920.0,51870.0
3504509.0,3545790.0,1635344.0,5414955.0,1454601.0,5444453.0,317462.0,233213.0,2208663.0
1471760.0,1527610.0,704268.0,2295102.0,607439.0,2301044.0,459542.0,45504.0,224130.0
19526298.0,19757199.0,9022146.0,30261351.0,6769198.0,23453222.0,2274108.0,5692423.0,15327688.0
2823201.0,2787148.0,1261005.0,4349344.0,969351.0,4712574.0,233647.0,178147.0,1208172.0
1744245.0,1830829.0,743833.0,2831241.0,740047.0,2714031.0,383416.0,161257.0,574240.0
462890.0,494358.0,203684.0,753564.0,213119.0,658237.0,212302.0,37009.0,88364.0
10220813.0,10680823.0,4182462.0,16719174.0,4995046.0,15702256.0,3359031.0,571276.0,5346684.0
5062096.0,5341751.0,2505240.0,7898607.0,1746382.0,6098889.0,3289020.0,414481.0,992394.0
713260.0,708834.0,304638.0,1117456.0,307058.0,354847.0,26025.0,537355.0,149118.0
861025.0,856725.0,441147.0,1276603.0,326239.0,1545409.0,11918.0,24287.0,215476.0
6272172.0,6498459.0,2891526.0,9879105.0,2398957.0,9134903.0,1813590.0,698524.0,2186387.0
3284846.0,3380857.0,1572491.0,5093212.0,1268823.0,5553391.0,626587.0,151979.0,461850.0
1558536.0,1580972.0,728737.0,2410771.0,644668.0,2826070.0,116359.0,75741.0,188311.0
1450697.0,1459955.0,711070.0,2199582.0,556078.0,2455935.0,170291.0,85794.0,345680.0
2190922.0,2258130.0,1009306.0,3439746.0,876677.0,3868479.0,358928.0,65191.0,162994.0
2278986.0,2385376.0,1103350.0,3561012.0,869327.0,2892275.0,1502963.0,80806.0,239164.0
653942.0,681550.0,252498.0,1082994.0,328269.0,1259522.0,18468.0,15109.0,22100.0
2917613.0,3101235.0,1341682.0,4677166.0,1124047.0,3343003.0,1799094.0,378126.0,606482.0
3324207.0,3526346.0,1371260.0,5479293.0,1365483.0,5348538.0,522357.0,452436.0,809179.0
4905240.0,5060025.0,2177878.0,7787387.0,2061496.0,7813755.0,1374314.0,311721.0,507353.0
2770873.0,2792505.0,1295848.0,4267530.0,1065087.0,4609049.0,356515.0,268181.0,299556.0
1447873.0,1536545.0,713493.0,2270925.0,570283.0,1743217.0,1125623.0,29605.0,91202.0
2995725.0,3109185.0,1381612.0,4723298.0,1237112.0,5015904.0,701334.0,120654.0,254791.0
528573.0,522076.0,228386.0,822263.0,235888.0,930204.0,5303.0,8259.0,40314.0
954950.0,959621.0,474107.0,1440464.0,363155.0,1666871.0,92406.0,45655.0,208271.0
1491294.0,1481088.0,681042.0,2291340.0,562176.0,1949707.0,271005.0,242267.0,853041.0
667689.0,680435.0,259964.0,1088160.0,292160.0,1252128.0,21546.0,36180.0,50493.0
4335032.0,4543471.0,1961521.0,6916982.0,1731862.0,6018074.0,1194882.0,840168.0,1794736.0
1036190.0,1056264.0,488476.0,1603978.0,432858.0,1565366.0,44120.0,32577.0,1020817.0
9501001.0,10071318.0,4108499.0,15463820.0,3852146.0,12459687.0,3065471.0,1647606.0,3720983.0
4996638.0,5268238.0,2296614.0,7968262.0,1999019.0,7049919.0,2200761.0,292992.0,962665.0
387555.0,369162.0,175744.0,580973.0,139345.0,655136.0,21985.0,11006.0,28317.0
5711765.0,5943632.0,2605010.0,9050387.0,2394996.0,9476047.0,1446193.0,258199.0,443415.0
1949528.0,1983342.0,956964.0,2975906.0,742325.0,2844070.0,286356.0,85239.0,417906.0
2047338.0,2082465.0,867943.0,3261860.0,875674.0,3480920.0,78679.0,180580.0,537217.0
6265113.0,6526417.0,2662391.0,10129139.0,2792819.0,10300602.0,1430664.0,436324.0,935216.0
513792.0,543439.0,207344.0,849887.0,218581.0,850597.0,71561.0,35958.0,163226.0
2435472.0,2585334.0,1102502.0,3918304.0,1053970.0,3372011.0,1344139.0,78805.0,285458.0
438946.0,431692.0,214108.0,656530.0,175425.0,733719.0,17531.0,12627.0,33024.0
3273278.0,3436078.0,1504920.0,5204436.0,1324306.0,5205132.0,1124473.0,117600.0,364174.0
14034009.0,14226847.0,7338445.0,20922411.0,4323990.0,20903375.0,3428211.0,1357273.0,11116881.0
1558868.0,1537980.0,923583.0,2173265.0,418174.0,2676482.0,36849.0,71977.0,434832.0
308097.0,316216.0,116654.0,507659.0,145543.0,587883.0,8502.0,10461.0,12038.0
4159173.0,4295290.0,1865699.0,6588764.0,1569440.0,5717617.0,1621592.0,541133.0,792001.0
3703301.0,3700806.0,1643546.0,5760561.0,1391024.0,5581128.0,281683.0,631333.0,937579.0
898578.0,918727.0,369438.0,1447867.0,432151.0,1691600.0,66990.0,14523.0,28368.0
2879894.0,2910822.0,1280903.0,4509813.0,1179670.0,4946961.0,371200.0,161841.0,394392.0
296202.0,284822.0,136371.0,444653.0,114337.0,531304.0,5582.0,5025.0,57341.0
